turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,capture,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,capture,capture,0,capture,3-0,3-1,-1,-1
2,0,0,0,capture,capture,capture,-1,None,-1,-1,-1,-1
3,1,0,0,move1,swap,move1,-1,None,-1,-1,-1,-1
4,0,0,0,move1,move2,move1,1,move2,3-4,3-1,-1,-1
5,1,0,0,move1,capture,move1,1,capture,1-0,1-1,-1,-1
6,0,0,3,move1,capture,move1,1,capture,2-4,3-4,-1,-1
7,1,0,3,capture,capture,move1,0,capture,2-0,3-0,-1,-1
8,0,0,6,capture,capture,move1,0,capture,3-1,3-0,-1,-1
9,1,3,6,mobilize,capture,move1,0,mobilize,1-1,1-4,1-0,-1
10,0,3,6,mobilize,capture,capture,2,capture,3-1,3-2,-1,-1
11,1,6,6,mobilize,mobilize,capture,1,mobilize,1-1,1-4,1-0,-1
12,0,6,7,capture,mobilize,capture,0,capture,2-4,2-3,3-2,2-2
13,1,9,7,capture,mobilize,capture,2,capture,1-1,1-4,1-0,-1
14,0,9,11,swap,mobilize,capture,0,swap,2-2,2-0,2-3,-1
15,1,12,11,swap,mobilize,move2,2,move2,1-1,1-4,1-0,-1
16,0,12,12,move2,mobilize,move2,0,move2,1-4,1-1,-1,-1
17,1,12,12,move2,mobilize,mobilize,2,mobilize,1-4,1-2,-1,-1
18,0,12,13,capture,mobilize,mobilize,0,capture,1-1,2-1,-1,-1
19,1,15,13,move2,mobilize,mobilize,0,move2,1-2,2-2,-1,-1
20,0,15,14,move2,mobilize,mobilize,1,mobilize,2-1,2-2,1-4,2-4
21,1,15,14,swap,mobilize,mobilize,0,swap,1-2,1-4,-1,-1
22,0,15,14,move1,mobilize,mobilize,0,move1,2-2,1-4,-1,-1
23,1,16,14,move1,mobilize,move1,2,move1,2-0,2-1,1-0,0-0
24,0,16,14,swap,mobilize,move1,0,swap,1-4,1-3,-1,-1
25,1,17,14,swap,mobilize,swap,2,swap,0-0,1-0,-1,-1
26,0,17,14,capture,mobilize,swap,0,capture,1-3,2-1,-1,-1
27,1,18,14,capture,mobilize,capture,2,capture,1-3,2-3,-1,-1
28,0,18,17,mobilize,mobilize,capture,0,mobilize,1-3,2-3,-1,-1
29,1,22,17,mobilize,mobilize,swap,2,swap,2-2,2-1,-1,-1
30,0,22,17,capture,mobilize,swap,0,capture,1-3,1-2,2-4,2-3
31,1,26,17,capture,mobilize,swap,0,capture,2-2,2-3,-1,-1
32,0,26,20,move1,mobilize,swap,0,move1,1-2,2-2,-1,-1
33,1,26,20,move1,move1,swap,1,move1,3-0,4-0,2-0,2-1
34,0,26,20,capture,move1,swap,0,capture,1-2,1-3,-1,-1
35,1,26,20,capture,capture,swap,1,capture,1-0,0-0,-1,-1
36,0,26,20,capture,capture,capture,2,capture,1-3,2-1,-1,-1
37,1,29,20,capture,capture,mobilize,2,mobilize,1-3,1-4,-1,-1
38,0,29,23,capture,capture,mobilize,0,capture,1-4,1-3,-1,-1
39,1,29,23,capture,capture,capture,2,capture,4-0,3-0,0-0,0-1
40,0,29,23,capture,capture,capture,-1,None,-1,-1,-1,-1
41,1,29,23,capture,move1,move2,-1,None,-1,-1,-1,-1
42,0,29,23,capture,move1,move1,2,move1,2-1,2-3,-1,-1
43,1,29,23,capture,move1,move2,2,move2,3-0,2-0,-1,-1
44,0,29,26,move2,move1,move2,0,move2,2-3,2-0,2-4,-1
45,1,30,26,move2,move1,move2,2,move2,2-0,2-2,-1,-1
46,0,30,26,swap,move1,move2,0,swap,1-4,1-3,-1,-1
47,1,31,26,capture,move1,move2,0,capture,0-1,1-3,-1,-1
48,0,31,29,mobilize,move1,move2,0,mobilize,2-3,1-3,-1,-1
49,1,32,29,mobilize,move1,move1,2,move1,1-0,2-1,-1,-1
50,0,32,29,capture,move1,move1,0,capture,2-3,1-3,2-4,1-4
