turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,mobilize,move2,-1,None,-1,-1,-1,-1
1,1,0,0,move1,mobilize,mobilize,2,mobilize,1-0,2-1,-1,-1
2,0,0,0,move1,mobilize,mobilize,0,move1,2-4,2-3,-1,-1
3,1,0,0,move1,mobilize,mobilize,0,move1,3-0,3-1,-1,-1
4,0,0,0,move1,move1,mobilize,1,move1,1-4,2-4,3-4,3-3
5,1,0,0,capture,move1,mobilize,0,capture,2-0,3-0,-1,-1
6,0,0,3,capture,move1,mobilize,0,capture,2-3,2-1,2-4,-1
7,1,3,3,mobilize,move1,mobilize,0,mobilize,3-1,3-3,3-0,-1
8,0,3,4,capture,move1,mobilize,0,capture,2-3,2-2,1-4,1-3
9,1,3,4,capture,move1,swap,2,swap,1-0,2-0,3-1,2-1
10,0,3,8,move1,move1,swap,0,move1,2-2,2-1,-1,-1
11,1,3,8,move1,move1,move1,2,move1,1-0,1-3,-1,-1
12,0,3,9,capture,move1,move1,0,capture,1-0,1-1,-1,-1
13,1,3,9,capture,move1,move1,1,move1,1-3,1-2,-1,-1
14,0,3,13,move2,move1,move1,0,move2,2-2,1-2,-1,-1
15,1,3,13,capture,move1,move1,0,capture,3-0,2-1,-1,-1
16,0,3,17,move2,move1,move1,0,move2,2-2,2-1,-1,-1
17,1,3,17,swap,move1,move1,0,swap,3-0,2-1,-1,-1
18,0,3,18,mobilize,move1,move1,0,mobilize,2-4,2-1,-1,-1
19,1,3,18,mobilize,move1,move1,0,mobilize,2-0,3-0,2-4,3-4
20,0,3,19,mobilize,move2,move1,1,move2,1-1,1-2,-1,-1
21,1,3,19,mobilize,move1,move1,1,move1,3-4,3-2,-1,-1
22,0,3,20,mobilize,move2,move1,1,move2,2-1,1-1,-1,-1
23,1,3,20,swap,move2,move1,0,swap,3-2,3-1,1-0,2-0
24,0,3,20,move2,move2,move1,0,move2,2-2,2-0,-1,-1
25,1,3,20,swap,move2,move1,0,swap,2-2,2-1,-1,-1
26,0,3,20,move1,move2,move1,0,move1,1-2,2-1,-1,-1
27,1,3,20,move1,move2,move1,1,move2,1-2,3-2,-1,-1
28,0,3,21,move1,mobilize,move1,1,mobilize,1-1,2-2,-1,-1
29,1,3,21,capture,mobilize,move1,0,capture,3-1,4-1,-1,-1
30,0,3,25,swap,mobilize,move1,0,swap,2-2,3-2,-1,-1
31,1,3,25,move1,mobilize,move1,0,move1,4-1,2-1,-1,-1
32,0,3,26,capture,mobilize,move1,0,capture,4-1,3-1,-1,-1
33,1,6,26,mobilize,mobilize,move1,0,mobilize,3-0,3-1,-1,-1
34,0,6,27,mobilize,mobilize,swap,2,swap,1-4,2-4,-1,-1
35,1,6,27,mobilize,mobilize,move1,2,move1,3-0,2-0,-1,-1
36,0,6,28,move1,mobilize,move1,0,move1,3-0,3-1,2-4,2-3
37,1,6,28,mobilize,mobilize,move1,0,mobilize,1-0,1-1,-1,-1
38,0,6,29,mobilize,mobilize,mobilize,2,mobilize,3-1,3-2,-1,-1
39,1,6,29,move1,mobilize,mobilize,0,move1,2-0,3-0,2-1,3-1
40,0,6,30,move2,mobilize,mobilize,0,move2,3-2,3-3,-1,-1
41,1,6,30,move2,mobilize,mobilize,1,mobilize,3-0,2-0,3-1,2-1
42,0,6,31,move2,mobilize,mobilize,0,move2,3-3,3-2,-1,-1
43,1,6,31,move2,mobilize,mobilize,0,move2,2-0,3-1,-1,-1
44,0,6,32,capture,mobilize,mobilize,0,capture,2-3,3-3,-1,-1
45,1,9,32,swap,mobilize,mobilize,0,swap,2-1,2-2,-1,-1
46,0,9,33,swap,capture,mobilize,1,capture,1-4,1-3,3-2,2-2
47,1,12,33,swap,move2,mobilize,1,move2,2-1,2-2,-1,-1
48,0,12,33,swap,move2,move1,2,move1,1-3,2-3,1-4,2-4
49,1,12,33,swap,move2,move1,0,swap,3-1,2-3,-1,-1
50,0,12,33,capture,move2,move1,0,capture,2-4,2-1,-1,-1
