turn,player,score_a,score_b,card_0,card_1,card_2,action,card_drawn,src_0,dst_0,src_1,dst_1
0,0,0,0,move1,swap,capture,-1,None,-1,-1,-1,-1
1,1,0,0,capture,swap,capture,0,capture,2-0,2-1,-1,-1
2,0,0,0,capture,move1,capture,1,move1,2-4,2-1,-1,-1
3,1,3,0,capture,move1,swap,2,swap,2-4,3-4,-1,-1
4,0,3,3,move1,move1,swap,0,move1,1-4,2-4,-1,-1
5,1,3,3,move1,move1,move2,2,move2,2-0,2-1,-1,-1
6,0,3,3,move1,move1,mobilize,2,mobilize,1-4,2-4,-1,-1
7,1,3,3,move1,move1,capture,2,capture,1-0,0-0,2-1,1-1
8,0,3,6,move1,move1,swap,2,swap,2-0,3-0,-1,-1
9,1,3,6,swap,move1,swap,0,swap,1-1,2-1,-1,-1
10,0,3,6,mobilize,move1,swap,0,mobilize,2-4,2-1,-1,-1
11,1,3,6,mobilize,move1,capture,2,capture,2-4,2-1,-1,-1
12,0,3,9,mobilize,move1,move2,2,move2,2-0,2-1,-1,-1
13,1,3,9,mobilize,move1,mobilize,2,mobilize,1-0,1-1,-1,-1
14,0,3,9,swap,move1,mobilize,0,swap,2-4,2-3,2-0,2-1
15,1,3,9,swap,move1,swap,2,swap,3-0,2-0,1-1,1-2
16,0,3,10,swap,move2,swap,1,move2,2-1,2-2,-1,-1
17,1,4,10,swap,move2,move2,2,move2,2-0,2-2,-1,-1
18,0,4,11,move2,move2,move2,0,move2,3-4,2-2,-1,-1
19,1,4,11,swap,move2,move2,0,swap,1-2,0-3,-1,-1
20,0,4,12,swap,move1,move2,1,move1,2-0,2-1,-1,-1
21,1,5,12,mobilize,move1,move2,0,mobilize,0-3,2-2,-1,-1
22,0,5,12,mobilize,swap,move2,1,swap,0-3,1-3,-1,-1
23,1,6,12,mobilize,swap,move1,2,move1,0-0,2-0,-1,-1
24,0,6,13,mobilize,move1,move1,1,move1,1-3,2-2,-1,-1
25,1,6,13,swap,move1,move1,0,swap,3-4,3-3,1-3,0-3
26,0,6,13,move2,move1,move1,0,move2,2-2,3-3,-1,-1
27,1,6,13,swap,move1,move1,0,swap,2-2,3-1,-1,-1
28,0,6,14,swap,swap,move1,1,swap,2-1,2-2,-1,-1
29,1,7,14,swap,swap,move1,0,swap,2-0,2-2,-1,-1
30,0,7,14,swap,swap,move1,0,swap,2-0,3-1,-1,-1
31,1,8,14,swap,mobilize,move1,1,mobilize,0-3,3-3,-1,-1
32,0,8,14,capture,mobilize,move1,0,capture,0-3,3-3,-1,-1
33,1,9,14,capture,mobilize,move1,1,mobilize,2-0,3-0,0-3,0-2
34,0,9,17,swap,mobilize,move1,0,swap,2-3,2-2,-1,-1
35,1,9,17,swap,mobilize,move1,1,mobilize,1-0,0-0,0-2,0-1
36,0,9,18,swap,capture,move1,1,capture,2-3,2-2,3-3,3-2
37,1,12,18,swap,move1,move1,1,move1,3-0,3-1,-1,-1
38,0,12,19,swap,swap,move1,1,swap,1-4,1-3,-1,-1
39,1,13,19,swap,capture,move1,1,capture,3-0,2-2,-1,-1
40,0,13,22,swap,move1,move1,1,move1,3-2,2-2,-1,-1
41,1,13,22,move2,move1,move1,0,move2,0-1,1-3,-1,-1
42,0,13,22,move1,move1,move1,0,move1,0-1,2-1,-1,-1
43,1,13,22,move2,move1,move1,0,move2,1-0,1-1,-1,-1
44,0,13,22,move2,capture,move1,1,capture,3-0,3-1,-1,-1
45,1,16,22,move2,move1,move1,1,move1,1-1,2-1,-1,-1
46,0,16,23,move2,swap,move1,1,swap,3-2,2-2,-1,-1
47,1,17,23,move2,move2,move1,1,move2,1-3,2-2,-1,-1
48,0,17,23,swap,move2,move1,0,swap,3-1,3-3,-1,-1
49,1,18,23,swap,mobilize,move1,1,mobilize,0-0,1-0,-1,-1
50,0,18,23,swap,move2,move1,1,move2,1-4,2-4,1-3,2-3
